sector,label,delta_y_pct_real,delta_p_pct_real,total_contribution_gdp_pct_real,supply_contribution_gdp_pct_real,demand_contribution_gdp_pct_real,delta_y_pct_emb,delta_p_pct_emb,total_contribution_gdp_pct_emb,supply_contribution_gdp_pct_emb,demand_contribution_gdp_pct_emb,total_diff
EDUC,Educational services,-13.138715161807198,-18.689474604244438,-0.14732878283248477,-0.03626597726351975,-0.11106280556896501,-10.0,0.0,-0.11213332583748627,-0.04092935925377989,-0.07120396658370638,-0.0351954569949985
INSURE,Insurance carriers and related activities,-0.12189794966044999,-4.2738250356764,-0.0033066830146083093,-0.0029275478513369163,-0.0003791351632713929,1.0,1.0,0.02712664998729809,0.01572906078958351,0.011397589197714579,-0.0304333330019064
MISCMFG,Miscellaneous manufacturing,-17.5918283789369,-36.35886584175253,-0.08106616712521732,-0.04462766947836493,-0.03643849764685238,-12.0,-2.0,-0.055298061381007804,-0.017179532144210113,-0.03811852923679769,-0.025768105744209513
TRANSIT,Transit and ground passenger transportation,-39.366535416035696,-80.0,-0.07487795300158981,-0.028274256159225186,-0.04660369684236462,-30.0,-5.0,-0.057062135804124205,-0.03589125888054019,-0.021170876923584006,-0.017815817197465604
MACH,Machinery,-11.9391962056159,-2.0,-0.1013729155590082,-0.041505274752171986,-0.05986764080683621,-10.0,-2.0,-0.08490765526688045,-0.031224220223905527,-0.053683435042974924,-0.016465260292127748
FOREST,"Forestry, fishing, and related activities",-11.6175760502173,-2.0,-0.02481044499042451,-0.02481044499042451,-0.0,-5.0,-2.0,-0.010677978299079198,-0.010677978299079198,-0.0,-0.014132466691345312
PLASTIC,Plastics and rubber products,-9.84953765746448,-2.0,-0.0386545932013567,-0.02670180121827631,-0.01195279198308039,-8.0,-2.0,-0.03139606714194329,-0.019540423453969044,-0.01185564368797425,-0.007258526059413413
WAREHOUSE,Warehousing and storage,-7.09342155569948,-2.0,-0.022320106987258746,-0.022320106987258746,-0.0,-5.0,-2.0,-0.015732962444142913,-0.0,-0.0,-0.006587144543115833
FUNDS,"Funds, trusts, and other financial vehicles",0.234908946360509,0.0,0.0008334432874549822,0.0002366400234479018,0.0005968032640070803,2.0,0.0,0.0070958837487263456,0.0020147382814849134,0.005081145467241432,-0.006262440461271363
WATERTRANS,Water transportation,-13.8545809501529,-80.0,-0.014529269046916468,-0.008422985830321656,-0.006106283216594812,-8.0,-4.0,-0.008389582679803028,-0.0012837964067845542,-0.007105786273018474,-0.0061396863671134404
FURN,Furniture and related products,-18.096862673981,-2.55690015763589,-0.028178751347048985,-0.009231108125297736,-0.01894764322175125,-15.0,-2.0,-0.023356604833690328,-0.00785072754951573,-0.015505877284174597,-0.004822146513358657
PRINT,Printing and related support activities,-17.0018576222435,-3.0,-0.036491020578001354,-0.013391938969119168,-0.023099081608882185,-15.0,-3.0,-0.03219444138585793,-0.010877356666682422,-0.021317084719175518,-0.004296579192143421
PAPER,Paper products,-6.07054455445544,-1.5,-0.020049302886716715,-0.01099658958561153,-0.009052713301105185,-5.0,-1.5,-0.016513595038192785,-0.007962727510522826,-0.008550867527669957,-0.0035357078485239307
NMMIN,Nonmetallic mineral products,-13.273146369573599,-2.0,-0.03534741197395752,-0.031357176716692525,-0.003990235257264993,-12.0,-2.0,-0.03195692504829333,-0.028163227930591915,-0.0037936971177014167,-0.0033904869256641892
WOOD,Wood products,-11.6642549091413,-2.0,-0.019516030226452544,-0.019100738075954995,-0.00041529215049755007,-10.0,-2.0,-0.016731484675594488,-0.01631707753619304,-0.00041440713940144616,-0.0027845455508580565
PMETAL,Primary metals,-15.7178137834191,-5.0,-0.04873339036221166,-0.04873339036221166,-0.0,-15.0,-5.0,-0.04650779462754012,-0.04650779462754012,-0.0,-0.0022255957346715358
OTRTRANS,Other transportation equipment,-25.126425334401496,-2.0,-0.18263641031291278,-0.0830488105163837,-0.09958759979652909,-25.0,-2.0,-0.1817174626735092,-0.08257255751042787,-0.09914490516308133,-0.0009189476394035889
MINE_SUP,Support activities for mining,-25.035980252698497,-5.0,-0.07754126485192299,-0.014272062062580375,-0.06326920278934262,-25.0,-5.0,-0.0774298270621591,-0.014238367498816592,-0.0631914595633425,-0.00011143778976388519
FARM,Farms,-3.0,-3.0,-0.02273986073026627,-0.014073310278431454,-0.008666550451834815,-3.0,-3.0,-0.02273986073026627,-0.014073310278431454,-0.008666550451834815,0.0
SLGOV,State and local general government,-4.0,0.0,-0.32781978298192116,-0.13255737790315483,-0.19526240507876638,-4.0,0.0,-0.32781978298192116,-0.13255737790315483,-0.19526240507876638,0.0
SLGOVE,State and local government enterprises,-2.0,0.0,-0.014459001098540784,-0.006078223034225547,-0.008380778064315237,-2.0,0.0,-0.014459001098540784,-0.006078223034225547,-0.008380778064315237,0.0
FEDGOVE,Federal government enterprises,-3.0,0.0,-0.008970732598185894,-0.006514190385713972,-0.0024565422124719224,-3.0,0.0,-0.008970732598185894,-0.006514190385713972,-0.0024565422124719224,0.0
FEDGOV,Federal general government,2.0,0.0,0.07489814906911227,0.030285854502407103,0.044612294566705166,2.0,0.0,0.07489814906911227,0.030285854502407103,0.044612294566705166,0.0
APPAREL,Apparel and leather and allied products,-28.497142857142897,-31.603336877103068,-0.015850131468001637,-0.010054659717529502,-0.005795471750472136,-30.0,-5.0,-0.016686021697816016,-0.008910090965869677,-0.007775930731946339,0.0008358902298143782
ELECEQUIP,"Electrical equipment, appliances, and components",-9.52668743231326,3.7697899251579634,-0.02974420178284115,-0.027658971357607077,-0.0020852304252340723,-10.0,-2.0,-0.03122197720264524,-0.019567177622104692,-0.011654799580540547,0.001477775419804088
MINE,"Mining, except oil and gas",-11.158745883797499,-5.0,-0.04068500991427186,-0.01672991408147742,-0.02395509583279444,-12.0,-5.0,-0.04375223919026223,-0.019590307308984145,-0.02416193188127808,0.003067229275990367
SECURIT,"Securities, commodity contracts, and investments",0.234908946360509,-5.92280735901628,0.003077200825302198,0.0026376389046486254,0.0004395619206535723,0.0,1.0,0.0,0.0,0.0,0.003077200825302198
TEXTILE,Textile mills and textile product mills,-16.7541322314049,-3.0,-0.016856631923155188,-0.009108916195740557,-0.007747715727414632,-20.0,-3.0,-0.02012235750599862,-0.011588499614048585,-0.008533857891950032,0.0032657255828434303
CREDIT,"Federal Reserve banks, credit intermediation",-0.840763618424056,-1.8172093335152826,-0.023472750717062438,-0.015455737226902936,-0.0080170134901595,-1.0,2.0,-0.027918371112513444,-0.027104792709848242,-0.0008135784026651984,0.004445620395451006
PIPE,Pipeline transportation,-1.04712041884818,-5.0,-0.001556516277893813,-0.0012904885621597263,-0.00026602771573408637,-5.0,-5.0,-0.00743236522694287,-0.0,-0.00743236522694287,0.005875848949049057
TRUCK,Truck transportation,-7.195636278372371,-16.505899085211244,-0.05818017114795432,-0.03844788881308736,-0.019732282334866954,-8.0,-3.0,-0.06468383770071767,-0.0032606999896842427,-0.06142313771103343,0.006503666552763354
WASTE,Waste management and remediation services,-2.2565203722707103,-1.0,-0.0056372180479897175,-0.0056372180479897175,-0.0,-5.0,-1.0,-0.012490953144635365,-0.012490953144635365,-0.0,0.006853735096645648
CHEM,Chemical products,-5.6372047937962595,1.1654914345043415,-0.11792663577020637,-0.1013651691856165,-0.016561466584589887,-6.0,-2.0,-0.12551607410110543,-0.06278681612995779,-0.06272925797114763,0.007589438330899062
RAILTRANS,Rail transportation,-8.41134347710776,-5.0,-0.02135637100618274,-0.0030433637224337143,-0.01831300728374903,-15.0,-5.0,-0.03808494635424065,-0.017833103579258075,-0.020251842774982584,0.01672857534805791
LEGAL,Legal services,-4.745164028611399,-1.5,-0.06364092885593876,-0.011559422817119323,-0.05208150603881943,-6.0,-1.5,-0.0804704686357015,-0.023499962054400587,-0.05697050658130092,0.01682953977976273
FABMETAL,Fabricated metal products,-11.8485860154466,-2.0,-0.0979988894716461,-0.07644824700286108,-0.021550642468785026,-15.0,-2.0,-0.12406403094498569,-0.10018894818787527,-0.023875082757110387,0.02606514147333959
MGMT,Management of companies and enterprises,-3.6227951137966397,-1.0,-0.07155403655934502,-0.06790642805135494,-0.0036476085079900733,-5.0,-1.0,-0.09875529019961243,-0.09511126047414298,-0.0036440297254694528,0.027201253640267417
AMUSE,"Amusements, gambling, and recreation industries",-54.087644005652805,-51.402443311259674,-0.2521149706862064,-0.06481150264495886,-0.18730346804124753,-60.0,-10.0,-0.27967382420264864,-0.09735965502424979,-0.1823141691783989,0.027558853516442217
NURSING,Nursing and residential care facilities,-5.68686793992629,-10.672565342552423,-0.044241572499787225,-0.007715078976869304,-0.03652649352291792,-10.0,1.5,-0.07779602580389912,-0.026479668813854183,-0.05131635699004494,0.03355445330411189
UTIL,Utilities,-1.6860916460123099,6.2813537894865865,-0.02657965960883466,-0.02553582646503562,-0.0010438331437990422,-4.0,-2.0,-0.06305626309624834,-0.045627464811796845,-0.017428798284451492,0.03647660348741369
COMPELEC,Computer and electronic products,-7.13025598848565,4.270567030293888,-0.10997455756998008,-0.10658646052402986,-0.003388097045950237,-10.0,-1.5,-0.15423647867281814,-0.10062116087594603,-0.053615317796872126,0.04426192110283807
MISCPROF,"Misc. professional, scientific, and technical svcs",-4.7295684469212,-9.990032550247246,-0.20576102058874943,-0.1977880282699101,-0.00797299231883932,-6.0,-1.5,-0.2610314529513068,-0.1914611949309443,-0.06957025802036253,0.05527043236255738
OTHERTRANS,Other transportation and support activities,-5.94583726276129,9.718863676734136,-0.03903355348553223,-0.0387588336290563,-0.0002747198564759326,-15.0,-3.0,-0.09847280986817178,-0.08273957429209676,-0.015733235576075026,0.05943925638263955
OTHSVC,"Other services, except government",-17.175392163463098,-72.97199656573773,-0.3824728585046473,-0.25877727826821123,-0.12369558023643606,-20.0,-6.0,-0.445373071967783,-0.08015346412019803,-0.36521960784758495,0.06290021346313568
FOODSVC,Food services and drinking places,-37.2670334110663,-40.99008997381882,-0.7751865207979837,-0.3502898416875083,-0.4248966791104753,-42.0,-12.0,-0.8736363185766052,-0.16483811089224812,-0.7087982076843572,0.0984497977786215
CONST,Construction,-9.13858322414812,-1.5,-0.3709412815738064,-0.1254806262935011,-0.24546065528030528,-12.0,-1.5,-0.487088126212323,-0.18016903439738235,-0.3069190918149406,0.1161468446385166
OILGAS,Oil and gas extraction,-7.78340727297171,-30.0,-0.08896954284735131,-0.08896954284735131,-0.0,-18.0,-30.0,-0.20575202030265702,-0.20575202030265702,-0.0,0.1167824774553057
WHOLE,Wholesale trade,-7.852117581499001,-2.5,-0.47593225819185886,-0.03133007598055038,-0.4446021822113085,-10.0,-2.5,-0.6061196272878552,-0.1764798078473663,-0.4296398194404889,0.13018736909599632
PERFORM,"Performing arts, spectator sports, museums",-44.435340892291094,-80.0,-0.25059381883591414,-0.13498511128252913,-0.11560870755338498,-70.0,-10.0,-0.39476612458164356,-0.2547672324553569,-0.13999889212628663,0.14417230574572942
MOTVEH,"Motor vehicles, bodies, trailers, and parts",-25.126425334401496,3.444680857013569,-0.22728030893687956,-0.16619971121544383,-0.061080597721435745,-42.0,-4.0,-0.379909710526132,-0.2190675410503372,-0.16084216947579477,0.15262940158925242
ACCOMM,Accommodation,-48.6923841194636,-80.0,-0.402248328663631,-0.17631989751596966,-0.22592843114766134,-68.0,-25.0,-0.5617487589438707,-0.09432591244958641,-0.4674228464942843,0.15950043028023964
PETRO,Petroleum and coal products,-11.545275590551201,-31.657640504675495,-0.10354909687148557,-0.07666539163458264,-0.02688370523690294,-30.0,-32.0,-0.26906875299598254,-0.12361900899992338,-0.14544974399605912,0.16551965612449698
AIRTRANS,Air transportation,-25.707912395841,-80.0,-0.13640976623734993,-0.07866967123039917,-0.05774009500695076,-67.0,-20.0,-0.3555113381894447,-0.2272489492990233,-0.12826238889042132,0.21910157195209476
HOSPITAL,Hospitals,-3.56097510553346,-19.927136397424977,-0.08139107564970118,-0.027057046622702648,-0.05433402902699853,-15.0,3.0,-0.34284601789223207,-0.11016804188273602,-0.23267797600949602,0.2614549422425309
AMBULAT,Ambulatory health care services,-12.5453372199961,-29.243477824692437,-0.43810476710903057,-0.10278375776430276,-0.3353210093447278,-25.0,2.5,-0.8730430267165962,-0.29483663611538513,-0.578206390601211,0.4349382596075656
RETAIL,Retail trade,-8.196179651290175,-12.815922676112706,-0.48022027411902907,-0.20021624019940948,-0.2800040339196196,-18.0,-2.0,-1.0546334148229488,-0.24212320560965211,-0.8125102092132966,0.5744131407039197
