sector,label,supply_shock,demand_shock,leontief_mult,direct_supply_effect_pct,indirect_supply_effect_pct,total_supply_effect_pct,demand_effect_pct,amplification_ratio
PMETAL,Primary metals,-0.04999999999999999,-0.2375,2.8035721510992087,-0.018250134192163175,-0.03291543378280896,-0.05116556797497213,-0.0,2.8035721510992087
MINE_SUP,Support activities for mining,-0.075,-0.40714285714285714,2.641286048742981,-0.017310789049919485,-0.028411956560365614,-0.045722745610285095,-0.0,2.641286048742981
OTHSVC,"Other services, except government",-0.020000000000000004,-0.26,1.5056171659545279,-0.02984433709071391,-0.015089809139598367,-0.04493414623031228,-0.5619388877815654,1.5056171659545279
RENTAL,Rental and leasing services,-0.030000000000000002,-0.13111111111111112,1.5164030657739247,-0.02962962962962963,-0.015300831578486659,-0.044930461208116286,-0.16764855242210086,1.5164030657739247
SLGOVE,State and local government enterprises,-0.04,-0.06666666666666667,1.3058016466659366,-0.03306494900697799,-0.010111315853259095,-0.04317626486023708,-0.08680752053415548,1.3058016466659366
MINE,"Mining, except oil and gas",-0.03,-0.25,2.8348823849911184,-0.013365539452495974,-0.024524192907288696,-0.03788973235978467,-0.0,2.8348823849911184
MISCPROF,"Misc. professional, scientific, and technical svcs",-0.005000000000000001,-0.08166666666666667,2.2326155941979007,-0.016478797638217933,-0.02031202294249896,-0.03679082058071689,-0.2784180454004943,2.2326155941979007
MGMT,Management of companies and enterprises,-0.015000000000000001,-0.08142857142857143,1.6436072598299538,-0.02069243156199678,-0.013317799176835596,-0.03401023073883238,-0.1137841406971489,1.6436072598299538
FEDGOVE,Federal government enterprises,-0.06,-0.1,1.121239032725507,-0.02318840579710145,-0.00281133988928712,-0.02599974568638857,-0.051175088343418176,1.121239032725507
MACH,Machinery,-0.02,-0.13111111111111112,1.6466585838845467,-0.014278046162104135,-0.009233021111824445,-0.023511067273928578,-0.1464354837553269,1.6466585838845467
INSURE,Insurance carriers and related activities,-0.005,0.03,1.9481963065699637,-0.011003757380568975,-0.01043372210664748,-0.021437479487216454,0.08107908720494245,1.9481963065699637
SOCIALAS,Social assistance,-0.025,-0.08333333333333334,1.1838978872734212,-0.017981749865807837,-0.0033068058098011856,-0.021288555675609024,-0.06447876891092746,1.1838978872734212
RAILTRANS,Rail transportation,-0.04999999999999999,-0.2642857142857143,1.3891670593824537,-0.01395598497047772,-0.005431209631746534,-0.019387194602224253,-0.04180360730955539,1.3891670593824537
OTHERTRANS,Other transportation and support activities,-0.045,-0.21749999999999997,1.3365977303676455,-0.013768115942028984,-0.004634316577525555,-0.018402432519554538,-0.039633014801060344,1.3365977303676455
LEGAL,Legal services,-0.009000000000000001,-0.10071428571428571,1.554364222402925,-0.010917874396135268,-0.0060524789499063324,-0.0169703533460416,-0.08387273545050686,1.554364222402925
MISCMFG,Miscellaneous manufacturing,-0.028,-0.13999999999999999,1.1870725635163544,-0.012474503488996244,-0.002333637346280234,-0.014808140835276479,-0.1113396082351691,1.1870725635163544
TEXTILE,Textile mills and textile product mills,-0.05,-0.28,1.6311617098898386,-0.008588298443370907,-0.00542060513056222,-0.014008903573933128,-0.056331535141142926,1.6311617098898386
COMPDES,Computer systems design and related services,-0.0025000000000000005,0.0475,2.279651298231063,-0.005501878690284488,-0.007040486208732366,-0.012542364899016854,0.045522219913828474,2.279651298231063
WOOD,Wood products,-0.02,-0.13111111111111112,1.9558641808279045,-0.006226516371443907,-0.005951703970801768,-0.012178220342245675,-0.0,1.9558641808279045
NMMIN,Nonmetallic mineral products,-0.039999999999999994,-0.19142857142857142,1.2980573760797753,-0.009017713365539451,-0.002687795983972209,-0.01170550934951166,-0.0,1.2980573760797753
FURN,Furniture and related products,-0.039999999999999994,-0.145,1.1171049043469623,-0.010091250670960814,-0.0011817349445640852,-0.0112729856155249,-0.07122692083909865,1.1171049043469623
ELECEQUIP,"Electrical equipment, appliances, and components",-0.02,-0.12000000000000001,1.4819308240631923,-0.007300053676865272,-0.003518120884197217,-0.01081817456106249,-0.021105745144290308,1.4819308240631923
APPAREL,Apparel and leather and allied products,-0.06999999999999999,-0.28076923076923077,1.0634585302587478,-0.010144927536231883,-0.0006437821910307748,-0.010788709727262659,-0.0745726488704643,1.0634585302587478
PLASTIC,Plastics and rubber products,-0.012,-0.12,1.6632629471081057,-0.005990338164251208,-0.003973169344995416,-0.009963507509246624,-0.03979194294044199,1.6632629471081057
PRINT,Printing and related support activities,-0.03,-0.21749999999999997,1.092151727488217,-0.006763285024154589,-0.0006232483984710335,-0.007386533422625622,-0.08405542095303628,1.092151727488217
PAPER,Paper products,-0.010000000000000002,-0.08642857142857144,1.8146450978843933,-0.0036500268384326365,-0.0029734764710756174,-0.006623503309508255,-0.019120483573242166,1.8146450978843933
WASTE,Waste management and remediation services,-0.015000000000000001,-0.09333333333333334,1.1022054366021705,-0.004991948470209341,-0.0005102042728932828,-0.0055021527431026234,-0.04022904799252908,1.1022054366021705
PUBLISH,Publishing industries (including software),-0.0025000000000000005,0.0475,1.832259778565991,-0.0027777777777777788,-0.002311832718238865,-0.005089610496016643,0.02779706674359158,1.832259778565991
TRUCK,Truck transportation,-0.0020000000000000018,-0.1442857142857143,1.5982630991818128,-0.0019753086419753104,-0.001181754269988767,-0.003157062911964077,-0.13578438726667544,1.5982630991818128
FOREST,"Forestry, fishing, and related activities",-0.005000000000000001,-0.10333333333333335,2.31734784185117,-0.0009661835748792272,-0.0012727998471991982,-0.0022389834220784255,-0.0,2.31734784185117
INFODATA,Information and data processing services,-0.0024999999999999988,0.08642857142857144,1.1888603495134207,-0.0016505636070853454,-0.0003117260197282707,-0.001962289626813616,0.06860533957601106,1.1888603495134207
WATERTRANS,Water transportation,-0.013333333333333336,-0.13999999999999999,1.1507458239675157,-0.0015745213812846666,-0.000237352522976228,-0.0018118739042608945,-0.0,1.1507458239675157
WAREHOUSE,Warehousing and storage,0.0,-0.09142857142857144,1.2525176356467422,0.0,0.0,0.0,-0.004254373372330326,
PIPE,Pipeline transportation,0.0,-0.15000000000000002,2.011112883879321,0.0,0.0,0.0,-0.0,
FUNDS,"Funds, trusts, and other financial vehicles",0.01,0.028571428571428574,1.1125226815254334,0.0047235641438539986,0.0005315081038238401,0.0052550722476778396,0.013455896395833831,1.1125226815254334
BROADCAST,Broadcasting and telecommunications,0.0025000000000000005,0.05166666666666667,1.6665324601652833,0.004522275899087494,0.003014243680564956,0.0075365195796524495,0.12049033937180348,1.6665324601652833
FARM,Farms,0.015,-0.09,2.7769943383559443,0.009822866344605476,0.017455177880791078,0.027278044225396553,-0.0,2.7769943383559443
PETRO,Petroleum and coal products,0.12000000000000002,-0.9199999999999999,3.861396497740152,0.06698872785829309,0.19168131128178797,0.2586700391400811,-1.7124116118468784,3.861396497740152
OILGAS,Oil and gas extraction,0.18,-0.6599999999999999,4.073608277736093,0.18067632850241547,0.5553282588759897,0.7360045873784052,-0.0,4.073608277736093
FEDGOV,Federal general government,0.06666666666666667,0.09999999999999999,2.296788037428375,0.3295759527643586,0.4273901529688793,0.7569661057332379,0.5208512042766095,2.296788037428375
